outcome,location_id,location_name,sdi_quintile_2023_assignment_only,extra_trees,persistence,pooled_ridge,selected_family,selected_rmsle,delta_vs_persistence,delta_vs_pooled
death,17,Sri Lanka,Q3,0.01302660025,0.0334655351,0.01350721401,extra_trees,0.01302660025,-0.02043893485,-0.0004806137581
death,19,Timor-Leste,Q1,0.002378858342,0.01227982445,0.03110945563,extra_trees,0.002378858342,-0.009900966107,-0.02873059729
death,23,Kiribati,Q2,0.02789976953,0.04390738004,0.02305097474,extra_trees,0.02789976953,-0.01600761051,0.004848794795
death,24,Marshall Islands,Q2,0.03511489857,0.08528044951,0.05820702841,extra_trees,0.03511489857,-0.05016555094,-0.02309212984
death,27,Samoa,Q2,0.03878959548,0.06649829056,0.04464825244,extra_trees,0.03878959548,-0.02770869509,-0.005858656966
death,30,Vanuatu,Q1,0.0626710297,0.02381250968,0.03772434859,extra_trees,0.0626710297,0.03885852002,0.02494668111
death,33,Armenia,Q3,0.08982130746,0.1438827068,0.1491014336,extra_trees,0.08982130746,-0.05406139933,-0.05928012612
death,35,Georgia,Q4,0.02734096297,0.0513516723,0.02963262354,extra_trees,0.02734096297,-0.02401070932,-0.002291660571
death,38,Mongolia,Q3,0.6716123015,0.1477774811,0.1631166074,extra_trees,0.6716123015,0.5238348204,0.5084956941
death,40,Turkmenistan,Q3,0.05515038031,0.03961932058,0.01372168423,extra_trees,0.05515038031,0.01553105973,0.04142869608
death,44,Bosnia and Herzegovina,Q3,0.04719186898,0.01670395398,0.03303388343,extra_trees,0.04719186898,0.03048791499,0.01415798554
death,50,Montenegro,Q4,0.01409782332,0.01944547712,0.02109798716,extra_trees,0.01409782332,-0.005347653795,-0.007000163832
death,57,Belarus,Q4,0.03415095322,0.03860980247,0.02336259543,extra_trees,0.03415095322,-0.00445884925,0.01078835779
death,67,Japan,Q5,0.05396709951,0.03774758768,0.05212378262,extra_trees,0.05396709951,0.01621951182,0.001843316889
death,72,New Zealand,Q5,0.03244906772,0.02658723032,0.0295721395,extra_trees,0.03244906772,0.005861837397,0.002876928218
death,74,Andorra,Q5,0.03144819951,0.05571058181,0.02554604939,extra_trees,0.03144819951,-0.0242623823,0.005902150126
death,80,France,Q5,0.03065756803,0.03080080823,0.03851635245,extra_trees,0.03065756803,-0.0001432402032,-0.007858784423
death,89,Netherlands,Q5,0.02762820758,0.06420456552,0.02405206094,extra_trees,0.02762820758,-0.03657635794,0.003576146633
death,95,United Kingdom,Q5,0.04212629498,0.05349808908,0.01800181452,extra_trees,0.04212629498,-0.0113717941,0.02412448046
death,113,Guyana,Q3,0.0701839517,0.08655304736,0.06238362795,extra_trees,0.0701839517,-0.01636909566,0.007800323754
death,123,Peru,Q3,0.06495931186,0.1005937254,0.06931107653,extra_trees,0.06495931186,-0.03563441349,-0.004351764663
death,136,Paraguay,Q3,0.01484365723,0.02178778094,0.02413777176,extra_trees,0.01484365723,-0.00694412371,-0.00929411453
death,140,Bahrain,Q4,0.02877586923,0.04366404027,0.02358216943,extra_trees,0.02877586923,-0.01488817105,0.005193699799
death,145,Kuwait,Q5,0.07741215526,0.0376682486,0.07653857559,extra_trees,0.07741215526,0.03974390666,0.0008735796714
death,147,Libya,Q4,0.05652011379,0.08952761598,0.06319855524,extra_trees,0.05652011379,-0.03300750219,-0.006678441452
death,149,Palestine,Q2,0.03935333238,0.03761477954,0.0461558403,extra_trees,0.03935333238,0.00173855284,-0.006802507922
death,150,Oman,Q4,0.0738296452,0.06795435164,0.04050635931,extra_trees,0.0738296452,0.005875293559,0.03332328588
death,152,Saudi Arabia,Q4,0.2003667667,0.1633918873,0.1361262499,extra_trees,0.2003667667,0.0369748794,0.06424051686
death,153,Syrian Arab Republic,Q2,0.07035808672,0.07628214082,0.04824166653,extra_trees,0.07035808672,-0.005924054097,0.02211642019
death,157,Yemen,Q1,0.05139271188,0.07866098917,0.04533149688,extra_trees,0.05139271188,-0.02726827729,0.006061214994
death,165,Pakistan,Q2,0.01811324773,0.03445829053,0.0182562395,extra_trees,0.01811324773,-0.01634504281,-0.000142991771
death,168,Angola,Q1,0.05718047751,0.100810029,0.07502574852,extra_trees,0.05718047751,-0.04362955151,-0.01784527101
death,177,Djibouti,Q1,0.007835216365,0.02357062249,0.01769050718,extra_trees,0.007835216365,-0.01573540612,-0.009855290813
death,182,Malawi,Q1,0.03225342612,0.07963462006,0.0394327805,extra_trees,0.03225342612,-0.04738119394,-0.007179354383
death,187,Somalia,Q1,0.02044474863,0.01472948636,0.01865175696,extra_trees,0.02044474863,0.00571526227,0.001792991674
death,191,Zambia,Q1,0.01120126477,0.04907287349,0.01191193891,extra_trees,0.01120126477,-0.03787160872,-0.0007106741431
death,213,Niger,Q1,0.0171635556,0.01226520984,0.01806336172,extra_trees,0.0171635556,0.004898345757,-0.0008998061196
death,298,American Samoa,Q4,0.02671792399,0.0430830512,0.03450632862,extra_trees,0.02671792399,-0.01636512721,-0.007788404629
death,369,Nauru,Q2,0.07543702914,0.1060724168,0.08140377652,extra_trees,0.07543702914,-0.03063538766,-0.005966747377
death,385,Puerto Rico,Q5,0.05080978258,0.03448986548,0.03425782272,extra_trees,0.05080978258,0.0163199171,0.01655195986
