partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,coverage_90,mean_width_90,median_width_90,coverage_95,mean_width_95,median_width_95,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,cv_locked_transparent_reference_rmsle,skill_vs_persistence,skill_vs_best_transparent,persistence_rmsle,pooled_rmsle,task,task_order,skill_persistence,skill_pooled
test_temporal_seen_country,daly,1,gru,True,False,815,0.06258440232,1.13521915,2.337972767,0.0500257721,0.4870451309,0.9912253602,0.9953705986,0.6515337423,2.196930235,1.561926362,0.7570552147,2.83310475,2.014220081,0.0542061848,1.13521915,1.407617703,0.0479540683,0.9335650942,-0.2869932875,0.5226993865,0.06119665147,0.06825485794,-0.02267690821,0.06716901381,0.06119665147,DALY 1 y,0,6.825485794,-2.267690821
test_temporal_seen_country,daly,3,extra_trees,True,False,815,0.1027102069,1.992487138,4.553513604,0.08780305326,0.81444318,0.9667153742,0.9885214937,0.7447852761,4.504810827,3.279966304,0.8392638037,5.81560393,4.234358703,0.08944931961,1.992487138,2.440968541,0.07956812195,1.664988251,-3.879326657,0.363190184,0.09765798762,0.156247912,-0.05173380483,0.1217303143,0.09765798762,DALY 3 y,1,15.6247912,-5.173380483
test_temporal_seen_country,daly,5,extra_trees,True,False,815,0.1244208865,2.479121142,5.172748794,0.1092475839,1.119756259,0.957047032,0.9841720185,0.7104294479,5.409503816,3.91627773,0.8282208589,7.16027847,5.183772869,0.1089551446,2.479121142,2.914912445,0.1003886281,2.227786042,-6.803548737,0.3165644172,0.1139816596,0.226371979,-0.0915869004,0.1608277921,0.1139816596,DALY 5 y,2,22.6371979,-9.15869004
test_temporal_seen_country,death,1,gru,True,False,815,0.02845227401,0.03899550125,0.08103028321,0.04816379796,0.01760077578,0.9909084532,0.9955057515,0.6687116564,0.06370142895,0.05648266013,0.7496932515,0.08404505639,0.07452090846,0.02200457046,0.03899550125,0.04813095924,0.04656152325,0.03197217069,-0.18204291,0.5447852761,0.02836038735,0.05785556405,-0.003239964835,0.03019948208,0.02836038735,Death 1 y,3,5.785556405,-0.3239964834
test_temporal_seen_country,death,3,extra_trees,True,False,815,0.04777721705,0.06881642407,0.158829276,0.08499596722,0.02800556781,0.9650695503,0.9892667519,0.7398773006,0.1350129558,0.1213005644,0.8294478528,0.1857744766,0.1669065664,0.03716730349,0.06881642407,0.08441396515,0.07696961022,0.05922890469,-3.78861256,0.3791411043,0.04579901515,0.1050156633,-0.0431931101,0.05338329968,0.04579901515,Death 3 y,4,10.50156633,-4.31931101
test_temporal_seen_country,death,5,extra_trees,True,False,815,0.05334079777,0.07921239652,0.1650551597,0.09783615391,0.03925742587,0.9622774299,0.9858623493,0.7558282209,0.1681105017,0.1512474656,0.8515337423,0.227479479,0.2046611861,0.0426015097,0.07921239652,0.09383355713,0.09424360137,0.06991078011,-8.620893793,0.3797546012,0.05116586316,0.1929952962,-0.04250753288,0.06609725757,0.05116586316,Death 5 y,5,19.29952962,-4.250753287
test_spatiotemporal_unseen_country,daly,1,gru,True,False,205,0.05854708752,1.582002109,3.895755286,0.04883511116,0.5369873648,0.9939417622,0.9956582301,0.712195122,3.146388185,2.156436659,0.7609756098,4.057501313,2.780885275,0.05258985998,1.582002109,1.903686732,0.04528907495,1.242063254,-0.04483760159,0.6146341463,0.05665219296,0.09071340572,-0.03344785904,0.06438793653,0.05665219296,DALY 1 y,0,9.071340572,-3.344785904
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,205,0.1329024479,5.341418606,20.76038042,0.1648852235,0.9752869096,0.8279583514,0.989019515,0.7317073171,5.815533886,4.484701355,0.8,7.507716311,5.789643079,0.09812009445,5.341418606,5.644885695,0.08877272853,5.29669375,-8.905965746,0.3219512195,0.09038907512,-0.1149984672,-0.4703375129,0.1191951844,0.09038907512,DALY 3 y,1,-11.49984672,-47.03375129
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,205,0.2100536928,7.441725771,29.84523033,0.2297199878,1.275991787,0.6444400385,0.9786268474,0.6780487805,6.685475976,5.561902969,0.7707317073,8.849216365,7.362001292,0.1379560203,7.441725771,7.751254174,0.1285432219,7.537775879,-25.5950703,0.4853658537,0.1167886054,-0.3031395373,-0.7985803672,0.1611904841,0.1167886054,DALY 5 y,2,-30.31395373,-79.85803672
test_spatiotemporal_unseen_country,death,1,gru,True,False,205,0.02607571679,0.05523260902,0.1372276679,0.04630766467,0.01898954544,0.9947452039,0.99613322,0.6926829268,0.07767743578,0.06404200195,0.7609756098,0.1024844274,0.08449439446,0.02197126574,0.05523260902,0.06576451241,0.04271050996,0.04505830791,0.06643542511,0.6268292683,0.02596275862,0.07284037765,-0.004350776942,0.02812430153,0.02596275862,Death 1 y,3,7.284037764,-0.4350776944
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,205,0.1120542189,0.2187797227,0.9767514136,0.1834274755,0.03593356966,0.7337800466,0.9891964174,0.7073170732,0.1528403968,0.1385870716,0.7951219512,0.2103045932,0.1906923714,0.05068657951,0.2187797227,0.2313651145,0.08423521683,0.2196622902,-9.317934676,0.3731707317,0.04244423969,-1.209535498,-1.6400336,0.05071392562,0.04244423969,Death 3 y,4,-120.9535498,-164.00336
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,205,0.118112109,0.2331971921,0.9871798121,0.1955152502,0.0553766016,0.7280650444,0.982439303,0.6731707317,0.1909752156,0.1716830723,0.8048780488,0.25838143,0.2323137189,0.05927569143,0.2331971921,0.2446573538,0.1070500669,0.2364833567,-13.840401,0.4268292683,0.05668798378,-0.7305837313,-1.083547537,0.06824986672,0.05668798378,Death 5 y,5,-73.05837313,-108.3547537
