outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent,task,task_order
daly,3,logtrend5,0.0894703223,1.219498875,2.11090169,0.06065732962,0.6434084139,0.9909454549,0.9898204825,0.07037528015,1.219498875,1.390167707,0.06653247096,1.212880781,-13.65135895,0.4071866784,1,8,0.07697530111,0.06164383163,-0.1623250706,DALY 3 y,1
daly,3,persistence,0.09534793431,1.321540826,2.018070684,0.06578861452,0.7951584927,0.9916443887,0.9914937662,0.08079402495,1.321540826,1.466435619,0.07865670037,1.305768072,-7.259794295,0.5817703769,0,9,0.07697530111,0,-0.2386821868,DALY 3 y,1
daly,3,elastic_net,0.2549288695,5.497445748,16.48756115,0.2739055127,2.359390723,0.3994128515,0.9300317356,0.2146336623,5.497445748,5.84038882,0.2298011979,5.32882201,-298.86596,0.4352322524,5,10,0.07697530111,-1.673669559,-2.311826856,DALY 3 y,1
daly,3,ridge,0.2554703198,5.607855975,18.43926355,0.2793746623,2.319811347,0.2437037382,0.9312460872,0.2133016961,5.607855975,5.998513254,0.2298294173,5.378055277,-359.6252434,0.4408413672,4,11,0.07697530111,-1.679348238,-2.318860935,DALY 3 y,1
daly,5,extra_trees,0.08189067552,1.215384632,2.171897971,0.06047748543,0.5818758225,0.990367314,0.991456128,0.06382197544,1.215384632,1.362996315,0.06121572185,1.178316852,-10.17243437,0.6101665206,7,1,0.1136407587,0.4434014575,0.2793899262,DALY 5 y,2
daly,5,hist_gradient_boosting,0.09063413269,1.437382845,2.792463632,0.07143723837,0.6850734134,0.9841257595,0.9895146433,0.07464688857,1.437382845,1.651454912,0.07033285782,1.357484416,-16.05394743,0.4744960561,8,2,0.1136407587,0.3839735009,0.2024504789,DALY 5 y,2
daly,5,xgboost,0.09236684598,1.451442071,2.853452227,0.07214421523,0.7084673068,0.9834659553,0.9891746294,0.07522454636,1.451442071,1.66592442,0.07143882788,1.359957402,-15.79130486,0.4867659947,9,3,0.1136407587,0.3721965106,0.1872031917,DALY 5 y,2
daly,5,random_forest,0.09529226364,1.517758467,2.819931134,0.0755278381,0.6836369261,0.9837065315,0.9890932339,0.07534474828,1.517758467,1.682564588,0.07318651903,1.478215516,-16.40308616,0.5617879053,6,4,0.1136407587,0.3523128889,0.1614605119,DALY 5 y,2
daly,5,gru,0.09643178915,1.343485309,2.192157891,0.06683620408,0.7393691225,0.9901840881,0.9872217147,0.08057695791,1.343485309,1.556057336,0.07689648853,1.278502313,-18.84836291,0.4348816827,10,5,0.1136407587,0.3445677063,0.1514330752,DALY 5 y,2
daly,5,pooled_ridge,0.1136407587,1.610074535,2.705164428,0.08007996667,0.8087315325,0.9851159297,0.9836672136,0.08808390978,1.610074535,1.777800006,0.09014582751,1.620384464,-31.88286136,0.4850131464,3,6,0.1136407587,0.2276009416,0,DALY 5 y,2
