partition,outcome,horizon,selected_family,reference_family,estimand,estimate,ci_lower,ci_upper,bootstrap_probability_below_zero,n_countries,replicates,task,task_order
test_temporal_seen_country,death,5,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.00217493461,-0.0009552782713,0.00537196729,0.09,163,2000,Death 5 y,5
test_temporal_seen_country,death,3,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.001978201904,-0.001033750402,0.004936840137,0.094,163,2000,Death 3 y,4
test_temporal_seen_country,death,1,gru,pooled_ridge,selected_minus_reference_rmsle,9.188665774e-05,-0.0004584575629,0.0005959534175,0.3835,163,2000,Death 1 y,3
test_temporal_seen_country,daly,5,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.01043922691,0.004217898625,0.0167440724,0.002,163,2000,DALY 5 y,2
test_temporal_seen_country,daly,3,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.005052219272,0.001217090633,0.0091622782,0.004,163,2000,DALY 3 y,1
test_temporal_seen_country,daly,1,gru,pooled_ridge,selected_minus_reference_rmsle,0.001387750848,0.0003617734636,0.002465046864,0.004,163,2000,DALY 1 y,0
