partition,outcome,horizon,family,fraction_definition,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,direct_percent_rmsle,delta_rmsle_vs_direct_percent,task,task_order
test_temporal_seen_country,daly,1,gru,direct_GBD_Percent,815,0.06258440232,1.13521915,2.337972767,0.0500257721,0.4870451309,0.9912253602,0.9953705986,0.06258440232,0,DALY 1 y,0
test_temporal_seen_country,daly,1,random_forest,ASR_ratio_sensitivity,815,0.06564471942,1.332114443,3.612269555,0.0587023691,0.4692676061,0.9790535368,0.9951102016,0.06565754799,-1.282856915e-05,DALY 1 y,0
test_temporal_seen_country,daly,1,random_forest,direct_GBD_Percent,815,0.06565754799,1.334861888,3.608895112,0.0588234409,0.4724764343,0.9790926532,0.9951210191,0.06565754799,0,DALY 1 y,0
test_temporal_seen_country,daly,3,extra_trees,ASR_ratio_sensitivity,815,0.1031650942,1.997910206,4.584565324,0.08804203193,0.7932027589,0.9662598715,0.9883502306,0.1027102069,0.0004548873089,DALY 3 y,1
test_temporal_seen_country,daly,3,extra_trees,direct_GBD_Percent,815,0.1027102069,1.992487138,4.553513604,0.08780305326,0.81444318,0.9667153742,0.9885214937,0.1027102069,0,DALY 3 y,1
test_temporal_seen_country,daly,3,gru,ASR_ratio_sensitivity,815,0.1044533575,2.004407316,4.09768581,0.08832834048,0.8427713377,0.9730457213,0.9888978912,0.1055184143,-0.001065056829,DALY 3 y,1
test_temporal_seen_country,daly,3,gru,direct_GBD_Percent,815,0.1055184143,2.014431251,4.079023969,0.08877006585,0.7990813402,0.9732906747,0.9881764626,0.1055184143,0,DALY 3 y,1
test_temporal_seen_country,daly,5,extra_trees,ASR_ratio_sensitivity,815,0.1251975558,2.494886124,5.22201779,0.1099423003,1.109284046,0.9562249051,0.9838957277,0.1244208865,0.0007766692187,DALY 5 y,2
test_temporal_seen_country,daly,5,extra_trees,direct_GBD_Percent,815,0.1244208865,2.479121142,5.172748794,0.1092475839,1.119756259,0.957047032,0.9841720185,0.1244208865,0,DALY 5 y,2
test_temporal_seen_country,daly,5,gru,ASR_ratio_sensitivity,815,0.1322223921,2.392832535,4.416167478,0.1054450985,1.186790165,0.9686929986,0.9816912308,0.1318320263,0.000390365828,DALY 5 y,2
test_temporal_seen_country,daly,5,gru,direct_GBD_Percent,815,0.1318320263,2.432021087,4.413617061,0.1071720228,1.266704195,0.9687291489,0.9800752928,0.1318320263,0,DALY 5 y,2
test_temporal_seen_country,death,1,extra_trees,ASR_ratio_sensitivity,815,0.03305737588,0.04761529613,0.1332165192,0.05881020706,0.01705022911,0.9754269407,0.9956219071,0.03301740365,3.997222666e-05,Death 1 y,3
test_temporal_seen_country,death,1,extra_trees,direct_GBD_Percent,815,0.03301740365,0.04741528404,0.1322279524,0.05856316979,0.01696221747,0.9757902887,0.9956613424,0.03301740365,0,Death 1 y,3
test_temporal_seen_country,death,1,gru,ASR_ratio_sensitivity,815,0.02828623448,0.03880050121,0.08026966256,0.04792295115,0.01702517102,0.9910783344,0.9955716986,0.02845227401,-0.0001660395291,Death 1 y,3
test_temporal_seen_country,death,1,gru,direct_GBD_Percent,815,0.02845227401,0.03899550125,0.08103028321,0.04816379796,0.01760077578,0.9909084532,0.9955057515,0.02845227401,0,Death 1 y,3
test_temporal_seen_country,death,3,extra_trees,ASR_ratio_sensitivity,815,0.04762605659,0.06871820998,0.157946261,0.08487466184,0.02812384519,0.9654568639,0.989339194,0.04777721705,-0.0001511604657,Death 3 y,4
test_temporal_seen_country,death,3,extra_trees,direct_GBD_Percent,815,0.04777721705,0.06881642407,0.158829276,0.08499596722,0.02800556781,0.9650695503,0.9892667519,0.04777721705,0,Death 3 y,4
test_temporal_seen_country,death,3,gru,ASR_ratio_sensitivity,815,0.05064327185,0.07272604765,0.1481762179,0.08982478884,0.03243860111,0.9695981456,0.9875324194,0.04765839851,0.002984873341,Death 3 y,4
test_temporal_seen_country,death,3,gru,direct_GBD_Percent,815,0.04765839851,0.06802269196,0.1397247475,0.08401561944,0.03170616286,0.9729672809,0.9884011928,0.04765839851,0,Death 3 y,4
test_temporal_seen_country,death,5,extra_trees,ASR_ratio_sensitivity,815,0.0533042537,0.07919206933,0.1640809833,0.09781104757,0.04022678825,0.9627214025,0.9857378589,0.05334079777,-3.654406962e-05,Death 5 y,5
test_temporal_seen_country,death,5,extra_trees,direct_GBD_Percent,815,0.05334079777,0.07921239652,0.1650551597,0.09783615391,0.03925742587,0.9622774299,0.9858623493,0.05334079777,0,Death 5 y,5
test_temporal_seen_country,death,5,gru,ASR_ratio_sensitivity,815,0.05791131065,0.08274760342,0.1570894472,0.1022025292,0.04511698982,0.9658306209,0.9795757348,0.05576823479,0.002143075856,Death 5 y,5
test_temporal_seen_country,death,5,gru,direct_GBD_Percent,815,0.05576823479,0.07886137923,0.1529341124,0.09740260837,0.04224540389,0.9676144111,0.9810122522,0.05576823479,0,Death 5 y,5
