location_id,location_name,year,bmi_daly_rate,bmi_daly_rate_lower,bmi_daly_rate_upper,bmi_death_rate,bmi_death_rate_lower,bmi_death_rate_upper,gbd_daly_fraction,gbd_daly_fraction_lower,gbd_daly_fraction_upper,gbd_death_fraction,gbd_death_fraction_lower,gbd_death_fraction_upper,overall_daly_rate,overall_daly_rate_lower,overall_daly_rate_upper,overall_death_rate,overall_death_rate_lower,overall_death_rate_upper,sdi,sdi_lower,sdi_upper,asr_ratio_daly,asr_ratio_death,daly_fraction_definition_gap_pp,death_fraction_definition_gap_pp,bmi_daly_rate_rel_ui_width,bmi_death_rate_rel_ui_width,gbd_daly_fraction_rel_ui_width,gbd_death_fraction_rel_ui_width,overall_daly_rate_rel_ui_width,overall_death_rate_rel_ui_width,sdi_rel_ui_width,sdi_quintile_2023
17,Sri Lanka,2023,5.026322422,2.089222504,8.985418975,0.1762265736,0.07203195963,0.3160361156,0.06534697676,0.02773683541,0.1159192503,0.05975926062,0.02506906962,0.1067393032,76.85904957,63.53104528,93.89615203,2.946914975,2.46857049,3.60195274,0.730697976,0.730697976,0.730697976,0.06539662473,0.05980035904,-0.004964796692,-0.004109842261,1.372016336,1.384604779,1.349449037,1.366654016,0.3950752308,0.384599576,0,Q3
18,Thailand,2023,28.23541803,9.931898307,47.56456768,0.9115586253,0.335014532,1.541584574,0.09044211738,0.03475345043,0.1527099108,0.08630625197,0.03318123367,0.1449395517,312.3452527,242.7236986,412.3574546,10.57027986,8.353359533,13.53156893,0.68718778,0.68718778,0.68718778,0.09039810206,0.0862378894,0.004401531574,0.006836256663,1.332817858,1.323634057,1.304220465,1.294904083,0.5430969561,0.4898838505,0,Q3
19,Timor-Leste,2023,2.206636472,0.7506637735,4.843976829,0.07586325321,0.0263337027,0.1788468596,0.01750372101,0.0074623763,0.03638127724,0.01686452222,0.006989133151,0.03585463295,125.5651075,76.73093298,190.9939289,4.470619444,2.713463576,6.826716309,0.484532958,0.484532958,0.484532958,0.0175736438,0.01696929344,-0.0069922783,-0.01047712169,1.855001088,2.010369322,1.652157328,1.711610884,0.90999003,0.9200632673,0,Q1
20,Viet Nam,2023,6.041377422,2.122286843,12.34312498,0.1890644809,0.06343673906,0.4040878248,0.02332455677,0.009842619586,0.04234031755,0.02206296231,0.009139408632,0.04081430356,258.6061283,183.9908568,355.725333,8.546651553,5.982680454,11.67598454,0.64302812,0.64302812,0.64302812,0.02336130803,0.02212146824,-0.003675126489,-0.005850593297,1.691805929,1.801771988,1.393282552,1.435659205,0.6640773649,0.6661444018,0,Q2
22,Fiji,2023,37.96446381,15.73476668,68.09251194,1.268165281,0.5212430329,2.289375563,0.2047271183,0.09517162602,0.3218071349,0.1940079691,0.08885291729,0.3093837152,186.2831843,125.3256983,277.7155579,6.564707038,4.40682547,9.734757724,0.686418864,0.686418864,0.686418864,0.2037997362,0.1931792651,0.09273820419,0.0828703935,1.379125108,1.394244549,1.107012646,1.136709997,0.8180548354,0.8116024406,0,Q3
23,Kiribati,2023,31.2169943,12.52398017,57.6579342,0.8924494954,0.3580214071,1.639582358,0.232081905,0.1128204168,0.3594168609,0.221335467,0.1065405622,0.3467623222,134.9098175,88.22960657,198.3927819,4.044899061,2.627480295,5.915063737,0.542688753,0.542688753,0.542688753,0.2313915686,0.2206357889,0.06903363924,0.06996780658,1.445813572,1.436003894,1.06254059,1.085328815,0.8165690039,0.8127726779,0,Q2
24,Marshall Islands,2023,122.746432,45.37933626,233.6514218,4.142698807,1.492451518,8.098360177,0.2557674826,0.1190427368,0.395246874,0.2411765524,0.1102078608,0.3790717668,482.5446233,243.092361,870.8342115,17.26024103,8.770610841,30.61465133,0.605458023,0.605458023,0.605458023,0.254373225,0.2400139604,0.1394257583,0.1162592016,1.533829395,1.59459062,1.079903256,1.114801183,1.300899068,1.26556984,0,Q2
25,Micronesia (Federated States of),2023,24.11839328,9.989706706,44.07802153,0.7872339457,0.322393573,1.458471599,0.2606991418,0.1269196628,0.3948396854,0.240932202,0.1160114441,0.3751452786,92.63085058,64.79068227,126.0436031,3.270684533,2.335033663,4.474891953,0.596840305,0.596840305,0.596840305,0.2603710656,0.2406939397,0.03280761887,0.02382623581,1.413374201,1.443126318,1.027698138,1.075546698,0.6612583225,0.6542539546,0,Q2
26,Papua New Guinea,2023,27.57703346,9.235797265,60.49944661,0.872823351,0.3144172471,1.929350578,0.1007914328,0.03970082045,0.1831086742,0.09074614567,0.03763365049,0.1569724358,273.9454847,138.1042196,461.6997769,9.627650669,4.869511696,16.06972083,0.43671418,0.43671418,0.43671418,0.1006661361,0.09065797888,0.01252966193,0.008816679663,1.858925451,1.850240749,1.422817891,1.315083791,1.181240705,1.163337715,0,Q1
27,Samoa,2023,32.91827661,13.40657923,60.1115948,1.061360661,0.4299801755,1.928787814,0.2687477255,0.1273637087,0.4059914486,0.2518722311,0.1182361868,0.3887458707,122.581292,75.26069136,184.029172,4.216612034,2.630529246,6.245848337,0.604489559,0.604489559,0.604489559,0.2685424185,0.251709347,0.02053070702,0.01628841404,1.418817155,1.412156765,1.036763155,1.073995663,0.8873171333,0.8573990354,0,Q2
