partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,coverage_90,mean_width_90,median_width_90,coverage_95,mean_width_95,median_width_95,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,cv_locked_transparent_reference_rmsle,skill_vs_persistence,skill_vs_best_transparent,persistence_rmsle,pooled_rmsle,task,task_order
test_spatiotemporal_unseen_country,daly,1,gru,True,False,205,0.05854708752,1.582002109,3.895755286,0.04883511116,0.5369873648,0.9939417622,0.9956582301,0.712195122,3.146388185,2.156436659,0.7609756098,4.057501313,2.780885275,0.05258985998,1.582002109,1.903686732,0.04528907495,1.242063254,-0.04483760159,0.6146341463,0.05665219296,0.09071340572,-0.03344785904,0.06438793653,0.05665219296,DALY 1 y,0
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,205,0.1329024479,5.341418606,20.76038042,0.1648852235,0.9752869096,0.8279583514,0.989019515,0.7317073171,5.815533886,4.484701355,0.8,7.507716311,5.789643079,0.09812009445,5.341418606,5.644885695,0.08877272853,5.29669375,-8.905965746,0.3219512195,0.09038907512,-0.1149984672,-0.4703375129,0.1191951844,0.09038907512,DALY 3 y,1
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,205,0.2100536928,7.441725771,29.84523033,0.2297199878,1.275991787,0.6444400385,0.9786268474,0.6780487805,6.685475976,5.561902969,0.7707317073,8.849216365,7.362001292,0.1379560203,7.441725771,7.751254174,0.1285432219,7.537775879,-25.5950703,0.4853658537,0.1167886054,-0.3031395373,-0.7985803672,0.1611904841,0.1167886054,DALY 5 y,2
test_spatiotemporal_unseen_country,death,1,gru,True,False,205,0.02607571679,0.05523260902,0.1372276679,0.04630766467,0.01898954544,0.9947452039,0.99613322,0.6926829268,0.07767743578,0.06404200195,0.7609756098,0.1024844274,0.08449439446,0.02197126574,0.05523260902,0.06576451241,0.04271050996,0.04505830791,0.06643542511,0.6268292683,0.02596275862,0.07284037765,-0.004350776942,0.02812430153,0.02596275862,Death 1 y,3
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,205,0.1120542189,0.2187797227,0.9767514136,0.1834274755,0.03593356966,0.7337800466,0.9891964174,0.7073170732,0.1528403968,0.1385870716,0.7951219512,0.2103045932,0.1906923714,0.05068657951,0.2187797227,0.2313651145,0.08423521683,0.2196622902,-9.317934676,0.3731707317,0.04244423969,-1.209535498,-1.6400336,0.05071392562,0.04244423969,Death 3 y,4
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,205,0.118112109,0.2331971921,0.9871798121,0.1955152502,0.0553766016,0.7280650444,0.982439303,0.6731707317,0.1909752156,0.1716830723,0.8048780488,0.25838143,0.2323137189,0.05927569143,0.2331971921,0.2446573538,0.1070500669,0.2364833567,-13.840401,0.4268292683,0.05668798378,-0.7305837313,-1.083547537,0.06824986672,0.05668798378,Death 5 y,5
