partition,outcome,horizon,family,ablation,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,full_model_rmsle,delta_rmsle_vs_full
test_spatiotemporal_unseen_country,death,3,extra_trees,remove_sdi,205,0.1108975392,0.2169161387,0.9712078649,0.1818650249,0.03789845155,0.7367933318,0.9884010531,0.1120542189,-0.001156679742
test_spatiotemporal_unseen_country,death,3,extra_trees,remove_uncertainty_width,205,0.1115131848,0.2191142941,0.9721080348,0.1837079841,0.03494489392,0.7363051963,0.9890821969,0.1120542189,-0.0005410341158
test_spatiotemporal_unseen_country,death,5,extra_trees,none_full_model,205,0.118112109,0.2331971921,0.9871798121,0.1955152502,0.0553766016,0.7280650444,0.982439303,0.118112109,0
test_spatiotemporal_unseen_country,death,5,extra_trees,remove_attributable_fraction,205,0.1176730847,0.2359337944,0.972628684,0.1978096496,0.04851176426,0.7360226573,0.9828307169,0.118112109,-0.0004390242973
test_spatiotemporal_unseen_country,death,5,extra_trees,remove_attributable_history,205,0.2283499911,0.3410326154,1.518411868,0.2859257289,0.05973321575,0.3566435111,0.9755860762,0.118112109,0.1102378821
test_spatiotemporal_unseen_country,death,5,extra_trees,remove_overall_history,205,0.1191319602,0.2360736519,0.993941261,0.1979269077,0.05695367587,0.7243271821,0.9824128373,0.118112109,0.001019851147
test_spatiotemporal_unseen_country,death,5,extra_trees,remove_sdi,205,0.1168026159,0.2331784285,0.9759066995,0.1954995186,0.05334956672,0.7342403121,0.981205165,0.118112109,-0.001309493071
test_spatiotemporal_unseen_country,death,5,extra_trees,remove_uncertainty_width,205,0.1177834078,0.2334437028,0.9825327862,0.1957219277,0.0533291015,0.7306192183,0.9823000098,0.118112109,-0.0003287012048
test_temporal_seen_country,daly,1,random_forest,none_full_model,815,0.06565754799,1.334861888,3.608895112,0.0588234409,0.4724764343,0.9790926532,0.9951210191,0.06565754799,0
test_temporal_seen_country,daly,1,random_forest,remove_attributable_fraction,815,0.06606745346,1.343077727,3.62316336,0.0591854888,0.471823051,0.9789270065,0.9950842217,0.06565754799,0.0004099054656
test_temporal_seen_country,daly,1,random_forest,remove_attributable_history,815,0.1287157706,2.612775025,5.837709446,0.1151373177,0.9523217888,0.9452939506,0.9868091288,0.06565754799,0.06305822262
test_temporal_seen_country,daly,1,random_forest,remove_overall_history,815,0.0655387459,1.308705882,3.426748477,0.05767082259,0.475941417,0.9811498479,0.9952023281,0.06565754799,-0.0001188020917
test_temporal_seen_country,daly,1,random_forest,remove_sdi,815,0.06584821599,1.336276236,3.571747118,0.05888576707,0.4583331161,0.9795208556,0.995098054,0.06565754799,0.0001906679958
test_temporal_seen_country,daly,1,random_forest,remove_uncertainty_width,815,0.06538565154,1.323580827,3.581204825,0.05832631772,0.4701021198,0.9794122577,0.9951560875,0.06565754799,-0.0002718964523
test_temporal_seen_country,daly,3,extra_trees,none_full_model,815,0.1027102069,1.992487138,4.553513604,0.08780305326,0.81444318,0.9667153742,0.9885214937,0.1027102069,0
test_temporal_seen_country,daly,3,extra_trees,remove_attributable_fraction,815,0.1040404141,2.019668399,4.654277741,0.08900085157,0.8173024678,0.9652259724,0.9879483852,0.1027102069,0.001330207256
test_temporal_seen_country,daly,3,extra_trees,remove_attributable_history,815,0.1208954394,2.480707694,5.687627749,0.1093174985,0.9107754565,0.9480706686,0.9867592084,0.1027102069,0.01818523251
test_temporal_seen_country,daly,3,extra_trees,remove_overall_history,815,0.102807451,1.990487974,4.507999756,0.08771495596,0.7989288785,0.9673774301,0.9885050235,0.1027102069,9.724409085e-05
test_temporal_seen_country,daly,3,extra_trees,remove_sdi,815,0.1024024789,1.980866102,4.46037512,0.08729094833,0.8056345939,0.9680630696,0.9883337383,0.1027102069,-0.0003077279884
test_temporal_seen_country,daly,3,extra_trees,remove_uncertainty_width,815,0.1032005972,2.00378153,4.584963959,0.08830076392,0.8172024176,0.9662540037,0.9882533825,0.1027102069,0.0004903903201
test_temporal_seen_country,daly,5,extra_trees,none_full_model,815,0.1244208865,2.479121142,5.172748794,0.1092475839,1.119756259,0.957047032,0.9841720185,0.1244208865,0
test_temporal_seen_country,daly,5,extra_trees,remove_attributable_fraction,815,0.1267430434,2.521218303,5.236933049,0.111102682,1.183898209,0.9559744849,0.9835425391,0.1244208865,0.002322156887
test_temporal_seen_country,daly,5,extra_trees,remove_attributable_history,815,0.1340551617,2.764245211,5.947931861,0.1218121637,1.122478125,0.9432086266,0.9835584551,0.1244208865,0.009634275164
test_temporal_seen_country,daly,5,extra_trees,remove_overall_history,815,0.1245636637,2.506669498,5.262751789,0.1104615589,1.163273193,0.9555393121,0.9836446852,0.1244208865,0.0001427772125
test_temporal_seen_country,daly,5,extra_trees,remove_sdi,815,0.124714665,2.459221562,5.075381358,0.1083706678,1.105480589,0.9586488337,0.9837265705,0.1244208865,0.0002937785038
test_temporal_seen_country,daly,5,extra_trees,remove_uncertainty_width,815,0.1244747945,2.478277585,5.143941056,0.1092104108,1.096440742,0.9575241216,0.9839974747,0.1244208865,5.390795874e-05
test_temporal_seen_country,death,1,extra_trees,none_full_model,815,0.03301740365,0.04741528404,0.1322279524,0.05856316979,0.01696221747,0.9757902887,0.9956613424,0.03301740365,0
test_temporal_seen_country,death,1,extra_trees,remove_attributable_fraction,815,0.0328384524,0.04729578065,0.1325787803,0.05841556977,0.01664790201,0.9756616516,0.9956614311,0.03301740365,-0.000178951251
test_temporal_seen_country,death,1,extra_trees,remove_attributable_history,815,0.04698780089,0.06570823895,0.1656187397,0.08115701155,0.02241307911,0.962019383,0.9934918252,0.03301740365,0.01397039724
test_temporal_seen_country,death,1,extra_trees,remove_overall_history,815,0.03328694266,0.04774595221,0.1322227058,0.05897158191,0.01745646822,0.9757922099,0.9956478427,0.03301740365,0.0002695390136
test_temporal_seen_country,death,1,extra_trees,remove_sdi,815,0.03205316597,0.04637540174,0.1277980887,0.05727879905,0.01748029134,0.9773852505,0.9956560223,0.03301740365,-0.0009642376849
test_temporal_seen_country,death,1,extra_trees,remove_uncertainty_width,815,0.03299499526,0.04773854079,0.1323680645,0.05896242797,0.01713703596,0.9757389551,0.9956228382,0.03301740365,-2.24083876e-05
test_temporal_seen_country,death,3,extra_trees,none_full_model,815,0.04777721705,0.06881642407,0.158829276,0.08499596722,0.02800556781,0.9650695503,0.9892667519,0.04777721705,0
test_temporal_seen_country,death,3,extra_trees,remove_attributable_fraction,815,0.04865221362,0.06941912816,0.1611560507,0.08574037405,0.02825271273,0.9640386244,0.9886669099,0.04777721705,0.0008749965715
test_temporal_seen_country,death,3,extra_trees,remove_attributable_history,815,0.05473487606,0.07757757651,0.1827282427,0.09581696868,0.03184924373,0.9537667504,0.9891898985,0.04777721705,0.006957659006
test_temporal_seen_country,death,3,extra_trees,remove_overall_history,815,0.04738653622,0.06832049628,0.1558081848,0.08438344102,0.02875882974,0.9663857365,0.9893806687,0.04777721705,-0.0003906808312
test_temporal_seen_country,death,3,extra_trees,remove_sdi,815,0.04719825601,0.06784794651,0.1545986853,0.08379978929,0.02863524125,0.9669055889,0.9893187116,0.04777721705,-0.0005789610415
test_temporal_seen_country,death,3,extra_trees,remove_uncertainty_width,815,0.04786901399,0.06923964156,0.1590229727,0.08551868806,0.02740218916,0.964984301,0.9893599203,0.04777721705,9.17969365e-05
test_temporal_seen_country,death,5,extra_trees,none_full_model,815,0.05334079777,0.07921239652,0.1650551597,0.09783615391,0.03925742587,0.9622774299,0.9858623493,0.05334079777,0
test_temporal_seen_country,death,5,extra_trees,remove_attributable_fraction,815,0.05364078651,0.07988098091,0.1659433093,0.09866193029,0.04073021092,0.9618703729,0.9856538898,0.05334079777,0.0002999887457
test_temporal_seen_country,death,5,extra_trees,remove_attributable_history,815,0.05832968277,0.08357357463,0.1825170777,0.1032226958,0.03861280402,0.9538735451,0.9868929648,0.05334079777,0.004988885004
test_temporal_seen_country,death,5,extra_trees,remove_overall_history,815,0.05337292907,0.07894256792,0.1626627039,0.09750288547,0.0394920355,0.963363073,0.9854550509,0.05334079777,3.213130342e-05
test_temporal_seen_country,death,5,extra_trees,remove_sdi,815,0.05327022546,0.07830027985,0.160588793,0.09670958799,0.03923711758,0.9642913417,0.9855895387,0.05334079777,-7.057230665e-05
test_temporal_seen_country,death,5,extra_trees,remove_uncertainty_width,815,0.05364871561,0.07948766355,0.1641354292,0.09817613943,0.03963713168,0.9626966586,0.985763617,0.05334079777,0.0003079178415
