partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,subgroup_dimension,subgroup_value,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,coverage_90,mean_width_90,median_width_90,coverage_95,mean_width_95,median_width_95
test_spatiotemporal_unseen_country,daly,1,elastic_net,False,False,overall,All,205,1.55238028451,139493.966034,966251.089889,4306.06463693,3.0350915148,-372685909.447,0.921240824059,0.79512195122,110650.424471,14.965744498,0.90243902439,131009.699662,17.7193869909
test_spatiotemporal_unseen_country,daly,1,extra_trees,False,False,overall,All,205,0.109429352883,4.76755303017,20.6699068239,0.147170462576,0.52566097785,0.829454596611,0.995683649651,0.668292682927,2.93853714441,2.2740267121,0.780487804878,4.02090130514,3.1116288565
test_spatiotemporal_unseen_country,daly,1,gru,True,False,overall,All,205,0.0585470875245,1.582002109,3.89575528594,0.0488351111576,0.5369873648,0.993941762178,0.99565823014,0.712195121951,3.14638818533,2.1564366592,0.760975609756,4.05750131268,2.7808852755
test_spatiotemporal_unseen_country,daly,1,hist_gradient_boosting,False,False,overall,All,205,0.119226331091,4.83645715213,22.6894098496,0.149297476464,0.51788838462,0.794501157074,0.995066233929,0.741463414634,3.32383968972,2.6118411521,0.790243902439,4.25282617833,3.3418297697
test_spatiotemporal_unseen_country,daly,1,logtrend10,False,False,overall,All,205,0.0573890533934,1.44110138061,3.57482669797,0.0444856209175,0.59109462112,0.994898792774,0.995326712262,0.721951219512,3.39600219599,2.4046144389,0.819512195122,4.56696924324,3.2337435461
test_spatiotemporal_unseen_country,daly,1,logtrend5,False,False,overall,All,205,0.0587008108988,1.42364703819,3.74161558735,0.0439468196432,0.5221116012,0.994411679405,0.994811327325,0.751219512195,3.66960399783,2.553217578,0.824390243902,4.77487425923,3.3222366497
test_spatiotemporal_unseen_country,daly,1,persistence,False,False,overall,All,205,0.0643879365346,1.6284602198,3.68170392024,0.0502692350391,0.6047712153,0.994589209726,0.99577523645,0.673170731707,3.57630872021,2.4823410483,0.770731707317,4.56525075462,3.1687726733
test_spatiotemporal_unseen_country,daly,1,pooled_ridge,False,True,overall,All,205,0.0566521929598,1.40996406889,3.52286039906,0.0435244375723,0.5192159087,0.995046024572,0.995669373598,0.692682926829,3.11903764497,2.1870079361,0.785365853659,4.17895910607,2.9302040469
test_spatiotemporal_unseen_country,daly,1,random_forest,False,False,overall,All,205,0.117598500114,5.21107757025,21.5710530918,0.160861702362,0.53402919001,0.814259899474,0.995374071959,0.653658536585,3.06936297516,2.4444402455,0.741463414634,3.96014981869,3.1538627635
test_spatiotemporal_unseen_country,daly,1,ridge,False,False,overall,All,205,1.63534299588,245401.461187,1706853.16072,7575.34238871,2.9563467473,-1162934626.32,0.923578164394,0.819512195122,194434.031353,14.693291287,0.917073170732,233236.332642,17.6255635414
test_spatiotemporal_unseen_country,daly,1,xgboost,False,False,overall,All,205,0.115828500884,4.66625734239,22.1063238717,0.144043547546,0.5647169786,0.80492750547,0.995114986558,0.69756097561,3.21857720027,2.4968093169,0.760975609756,3.98936614698,3.0947483763
test_spatiotemporal_unseen_country,daly,3,elastic_net,False,False,overall,All,205,1.41099817576,50249.3336257,322592.890218,1551.15582922,3.06066207222,-41540579.7536,0.916273627613,0.843902439024,42895.0054856,16.1851916771,0.917073170732,49046.3317312,18.5062170092
test_spatiotemporal_unseen_country,daly,3,extra_trees,True,False,overall,All,205,0.132902447902,5.34141860649,20.7603804214,0.164885223543,0.9752869096,0.827958351361,0.989019514981,0.731707317073,5.81553388585,4.4847013552,0.8,7.50771631068,5.789643079
test_spatiotemporal_unseen_country,daly,3,gru,False,False,overall,All,205,0.102195942381,2.88066396784,8.14773757068,0.0889237405418,1.1423292494,0.973500538684,0.98753464919,0.707317073171,6.92193351003,4.7533411539,0.873170731707,9.91315268686,6.8074327157
test_spatiotemporal_unseen_country,daly,3,hist_gradient_boosting,False,False,overall,All,205,0.14317018019,5.72209981558,23.1678076659,0.176636541101,1.0468102801,0.785744065951,0.988456770347,0.741463414634,6.02095035424,4.9495330171,0.853658536585,8.5774588541,7.0511154059
test_spatiotemporal_unseen_country,daly,3,logtrend10,False,False,overall,All,205,0.0986414082608,2.64668030904,6.40318880386,0.0817008563741,1.0820361961,0.983633508248,0.987211488905,0.809756097561,8.58826152023,6.1300844427,0.912195121951,11.2569782958,8.0349471614
test_spatiotemporal_unseen_country,daly,3,logtrend5,False,False,overall,All,205,0.106459627653,2.6829385067,5.9737353925,0.0828201172794,1.0633775513,0.985755246318,0.986912008469,0.80487804878,8.57286042214,6.2447334375,0.931707317073,12.0331136868,8.7652876283
test_spatiotemporal_unseen_country,daly,3,persistence,False,False,overall,All,205,0.119195184394,2.85210760044,6.61037839467,0.088042228837,1.3145505177,0.982557223286,0.988669888983,0.785365853659,8.83738985778,6.3093487451,0.868292682927,11.1021489781,7.92624642
test_spatiotemporal_unseen_country,daly,3,pooled_ridge,False,True,overall,All,205,0.0903890751157,2.37890908727,5.38073741727,0.0734349777726,0.97043170271,0.988442961013,0.989763340809,0.785365853659,6.96274885783,5.0950263944,0.912195121951,9.39342948476,6.8736891328
test_spatiotemporal_unseen_country,daly,3,random_forest,False,False,overall,All,205,0.187183811636,7.0743153514,29.4611325434,0.218378328692,1.0794882799,0.65353301508,0.9874789319,0.69756097561,5.93283579273,5.0726347386,0.79512195122,7.6916388963,6.5764292197
test_spatiotemporal_unseen_country,daly,3,ridge,False,False,overall,All,205,1.48428227916,81461.4278164,526867.964059,2514.64764797,3.1440618952,-110806837.883,0.913085205666,0.868292682927,70851.9907727,16.5909218462,0.917073170732,79369.2683103,18.5853539635
test_spatiotemporal_unseen_country,daly,3,xgboost,False,False,overall,All,205,0.137687100957,5.44223385431,22.3344452137,0.167997307784,0.8778711603,0.800880717366,0.988725606274,0.741463414634,6.11733217572,5.0084909589,0.848780487805,8.08320226062,6.6180230659
test_spatiotemporal_unseen_country,daly,5,elastic_net,False,False,overall,All,205,1.29781479246,32574.5618508,282907.134201,1005.55008103,3.1685816044,-31948521.5833,0.915410009611,0.882926829268,30060.3424632,17.468110871,0.926829268293,33966.0642854,19.7377317811
test_spatiotemporal_unseen_country,daly,5,extra_trees,True,False,overall,All,205,0.210053692843,7.44172577141,29.8452303267,0.229719987846,1.2759917874,0.644440038509,0.978626847376,0.678048780488,6.68547597555,5.5619029689,0.770731707317,8.84921636492,7.3620012924
test_spatiotemporal_unseen_country,daly,5,gru,False,False,overall,All,205,0.16230344632,4.35540525238,11.3482045893,0.134447797779,2.0438508557,0.948593587786,0.961680433481,0.707317073171,10.2655187429,7.0129586075,0.834146341463,14.0833156514,9.6211124049
test_spatiotemporal_unseen_country,daly,5,hist_gradient_boosting,False,False,overall,All,205,0.153192138229,5.63907832651,20.6930432712,0.174073735639,1.5542093348,0.829072589753,0.98338371105,0.775609756098,8.39543735515,6.1054033112,0.839024390244,10.8573937568,7.8958087578
test_spatiotemporal_unseen_country,daly,5,logtrend10,False,False,overall,All,205,0.143428779608,3.77897360984,13.1902994719,0.116653824447,1.5417974071,0.930549993215,0.966328648438,0.873170731707,14.801041896,10.0702055206,0.917073170732,20.5131845841,13.9565840091
test_spatiotemporal_unseen_country,daly,5,logtrend5,False,False,overall,All,205,0.148914641998,3.1946504091,6.41850849139,0.0986162451686,1.55318458966,0.983555100604,0.970474014849,0.90243902439,14.3958347637,10.1652520535,0.946341463415,21.7187437714,15.3361377333
test_spatiotemporal_unseen_country,daly,5,persistence,False,False,overall,All,205,0.161190484079,4.18549742317,10.4176765091,0.129202882062,1.8661700984,0.956678377277,0.982149573066,0.853658536585,14.7522369747,10.0584109223,0.89756097561,17.5115561872,11.9397775621
test_spatiotemporal_unseen_country,daly,5,pooled_ridge,False,True,overall,All,205,0.116788605435,2.88185797824,6.91160868427,0.0889605986662,1.22138912,0.980931292191,0.983776517948,0.853658536585,11.0237136882,7.9165012841,0.921951219512,14.4985985031,10.4119334839
test_spatiotemporal_unseen_country,daly,5,random_forest,False,False,overall,All,205,0.213906804112,7.56252705868,30.9348838309,0.233449024778,1.4801558903,0.618002993399,0.978497304676,0.717073170732,7.6128998536,6.3111936315,0.848780487805,11.0239839089,9.1390269646
test_spatiotemporal_unseen_country,daly,5,ridge,False,False,overall,All,205,1.55835570299,154853.62376,1197995.18129,4780.20470798,3.164053251,-572892481.099,0.90932428856,0.878048780488,142524.19155,17.6193378809,0.917073170732,164772.280233,20.3697242359
test_spatiotemporal_unseen_country,daly,5,xgboost,False,False,overall,All,205,0.172723890837,6.15445281044,25.3666575449,0.189982924424,1.3709520429,0.743144143414,0.982311153209,0.775609756098,8.01356462557,6.2581764412,0.863414634146,10.7915749498,8.4276577616
test_spatiotemporal_unseen_country,death,1,elastic_net,False,False,overall,All,205,0.514540545819,7.92552776833,50.3601739295,6.64485507269,0.071462680332,-706.696339014,0.966908108259,0.809756097561,2.0522843953,0.357088590948,0.892682926829,2.51430263516,0.437604158614
test_spatiotemporal_unseen_country,death,1,extra_trees,False,False,overall,All,205,0.108992678988,0.196851039412,0.986385938459,0.165042211199,0.017911197528,0.728502239726,0.996290621387,0.682926829268,0.0808648240676,0.072491522018,0.790243902439,0.123285519393,0.110519685743
test_spatiotemporal_unseen_country,death,1,gru,True,False,overall,All,205,0.0260757167896,0.0552326090196,0.137227667936,0.0463076646692,0.018989545443,0.994745203861,0.996133220042,0.692682926829,0.0776774357842,0.064042001949,0.760975609756,0.102484427412,0.084494394462
test_spatiotemporal_unseen_country,death,1,hist_gradient_boosting,False,False,overall,All,205,0.104787206435,0.189479099628,0.959618449219,0.158861490759,0.018470580707,0.743037538332,0.995855676845,0.726829268293,0.0871022642684,0.07716783295,0.814634146341,0.127205280958,0.112696908096
test_spatiotemporal_unseen_country,death,1,logtrend10,False,False,overall,All,205,0.0256882906323,0.0493186141286,0.127451720479,0.041349302261,0.020298038161,0.995467227618,0.995850454792,0.707317073171,0.0901277275639,0.074542676631,0.80487804878,0.122636299344,0.101429806922
test_spatiotemporal_unseen_country,death,1,logtrend5,False,False,overall,All,205,0.0270141002484,0.0505744498485,0.134332265321,0.0424022096002,0.018359313463,0.994964609185,0.995787772841,0.726829268293,0.0870411005524,0.072563437937,0.809756097561,0.125787649711,0.104865221777
test_spatiotemporal_unseen_country,death,1,persistence,False,False,overall,All,205,0.0281243015344,0.0584703702285,0.133180681084,0.0490222414926,0.02397456565,0.995050572474,0.995869955844,0.658536585366,0.0906991585143,0.075009421967,0.770731707317,0.124413492739,0.102891629074
test_spatiotemporal_unseen_country,death,1,pooled_ridge,False,True,overall,All,205,0.0259627586181,0.0539851113265,0.1306007788,0.0452617480291,0.018048893719,0.995240470317,0.996034321851,0.682926829268,0.0787356978756,0.065255848164,0.760975609756,0.10375184376,0.085989135117
