partition,outcome,horizon,selected_family,reference_family,estimand,estimate,ci_lower,ci_upper,bootstrap_probability_below_zero,n_countries,replicates
test_temporal_seen_country,daly,3,extra_trees,pooled_ridge,selected_rmsle,0.10271020689,0.0933210574827,0.112424963022,0,163,2000
test_temporal_seen_country,daly,3,extra_trees,pooled_ridge,reference_rmsle,0.097657987618,0.0876974090145,0.108063507074,0,163,2000
test_temporal_seen_country,daly,3,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.00505221927151,0.00121709063333,0.00916227820035,0.004,163,2000
test_temporal_seen_country,daly,3,extra_trees,pooled_ridge,skill_vs_reference,-0.0517338048299,-0.0972813724053,-0.0117995835361,0.996,163,2000
test_temporal_seen_country,daly,3,extra_trees,pooled_ridge,country_macro_selected_minus_reference_rmsle,0.00463825337892,0.00138338324066,0.00797138427915,0.0025,163,2000
test_temporal_seen_country,daly,5,extra_trees,pooled_ridge,selected_rmsle,0.124420886538,0.113205400382,0.134890582958,0,163,2000
test_temporal_seen_country,daly,5,extra_trees,pooled_ridge,reference_rmsle,0.11398165963,0.104114005115,0.123048288271,0,163,2000
test_temporal_seen_country,daly,5,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.0104392269081,0.00421789862502,0.0167440724015,0.002,163,2000
test_temporal_seen_country,daly,5,extra_trees,pooled_ridge,skill_vs_reference,-0.0915869004014,-0.149125597834,-0.0378183849338,0.998,163,2000
test_temporal_seen_country,daly,5,extra_trees,pooled_ridge,country_macro_selected_minus_reference_rmsle,0.00821067789137,0.00303657747422,0.0135784674804,0.0025,163,2000
test_temporal_seen_country,death,1,gru,pooled_ridge,selected_rmsle,0.0284522740069,0.0235827066084,0.0337926348047,0,163,2000
test_temporal_seen_country,death,1,gru,pooled_ridge,reference_rmsle,0.0283603873491,0.0236967010094,0.0335547128442,0,163,2000
test_temporal_seen_country,death,1,gru,pooled_ridge,selected_minus_reference_rmsle,9.18866577431e-05,-0.000458457562889,0.000595953417493,0.3835,163,2000
test_temporal_seen_country,death,1,gru,pooled_ridge,skill_vs_reference,-0.00323996483588,-0.0201974128272,0.0172702326733,0.6165,163,2000
test_temporal_seen_country,death,1,gru,pooled_ridge,country_macro_selected_minus_reference_rmsle,0.000109005756942,-0.00030997999445,0.000503263468503,0.305,163,2000
test_temporal_seen_country,death,3,extra_trees,pooled_ridge,selected_rmsle,0.0477772170533,0.0411514798318,0.0545025633566,0,163,2000
test_temporal_seen_country,death,3,extra_trees,pooled_ridge,reference_rmsle,0.0457990151496,0.0393715065385,0.0526741732444,0,163,2000
test_temporal_seen_country,death,3,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.00197820190378,-0.00103375040155,0.00493684013692,0.094,163,2000
test_temporal_seen_country,death,3,extra_trees,pooled_ridge,skill_vs_reference,-0.0431931100989,-0.11229882008,0.0216189622792,0.906,163,2000
test_temporal_seen_country,death,3,extra_trees,pooled_ridge,country_macro_selected_minus_reference_rmsle,0.00156409829427,-0.000199954572321,0.00335010374186,0.038,163,2000
test_temporal_seen_country,death,5,extra_trees,pooled_ridge,selected_rmsle,0.0533407977677,0.0468941764241,0.0598853883417,0,163,2000
test_temporal_seen_country,death,5,extra_trees,pooled_ridge,reference_rmsle,0.0511658631575,0.0452952247796,0.0574716423255,0,163,2000
test_temporal_seen_country,death,5,extra_trees,pooled_ridge,selected_minus_reference_rmsle,0.0021749346102,-0.000955278271344,0.00537196728986,0.09,163,2000
test_temporal_seen_country,death,5,extra_trees,pooled_ridge,skill_vs_reference,-0.0425075328742,-0.10489465112,0.0190436043583,0.91,163,2000
test_temporal_seen_country,death,5,extra_trees,pooled_ridge,country_macro_selected_minus_reference_rmsle,0.000836925394304,-0.00139823873525,0.00314342617931,0.24,163,2000
