partition,outcome,horizon,family,fraction_definition,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,direct_percent_rmsle,delta_rmsle_vs_direct_percent
test_temporal_seen_country,daly,1,random_forest,ASR_ratio_sensitivity,815,0.0656447194203,1.33211444324,3.61226955492,0.0587023691036,0.469267606054,0.979053536758,0.99511020157,0.0656575479895,-1.28285691482e-05
test_temporal_seen_country,daly,1,random_forest,direct_GBD_Percent,815,0.0656575479895,1.33486188753,3.60889511248,0.0588234409,0.47247643428,0.97909265323,0.99512101912,0.0656575479895,0
test_temporal_seen_country,daly,3,extra_trees,ASR_ratio_sensitivity,815,0.103165094198,1.99791020592,4.58456532424,0.0880420319285,0.793202758933,0.966259871453,0.988350230582,0.10271020689,0.000454887308877
test_temporal_seen_country,daly,3,extra_trees,direct_GBD_Percent,815,0.10271020689,1.99248713805,4.55351360438,0.0878030532627,0.81444318,0.966715374165,0.988521493673,0.10271020689,0
test_temporal_seen_country,daly,3,gru,ASR_ratio_sensitivity,815,0.104453357508,2.00440731607,4.09768580951,0.0883283404811,0.842771337676,0.97304572134,0.988897891199,0.105518414337,-0.00106505682949
test_temporal_seen_country,daly,3,gru,direct_GBD_Percent,815,0.105518414337,2.01443125131,4.0790239687,0.0887700658515,0.7990813402,0.973290674737,0.988176462608,0.105518414337,0
test_temporal_seen_country,daly,5,extra_trees,ASR_ratio_sensitivity,815,0.125197555757,2.49488612392,5.22201778974,0.109942300274,1.10928404604,0.956224905091,0.983895727689,0.124420886538,0.0007766692187
test_temporal_seen_country,daly,5,extra_trees,direct_GBD_Percent,815,0.124420886538,2.47912114218,5.17274879409,0.109247583854,1.1197562588,0.957047031981,0.984172018546,0.124420886538,0
test_temporal_seen_country,daly,5,gru,ASR_ratio_sensitivity,815,0.132222392149,2.39283253544,4.41616747765,0.105445098514,1.18679016471,0.968692998606,0.98169123078,0.131832026321,0.000390365827978
test_temporal_seen_country,daly,5,gru,direct_GBD_Percent,815,0.131832026321,2.43202108691,4.41361706109,0.107172022822,1.266704195,0.968729148883,0.980075292805,0.131832026321,0
test_temporal_seen_country,death,1,extra_trees,ASR_ratio_sensitivity,815,0.0330573758778,0.0476152961309,0.133216519157,0.0588102070602,0.0170502291108,0.975426940746,0.995621907134,0.0330174036511,3.99722266597e-05
test_temporal_seen_country,death,1,extra_trees,direct_GBD_Percent,815,0.0330174036511,0.0474152840383,0.132227952402,0.058563169794,0.016962217474,0.975790288727,0.995661342422,0.0330174036511,0
test_temporal_seen_country,death,1,gru,ASR_ratio_sensitivity,815,0.0282862344777,0.0388005012132,0.0802696625622,0.0479229511481,0.0170251710208,0.991078334441,0.99557169863,0.0284522740069,-0.000166039529135
test_temporal_seen_country,death,1,gru,direct_GBD_Percent,815,0.0284522740069,0.0389955012487,0.0810302832138,0.0481637979641,0.017600775779,0.99090845321,0.995505751478,0.0284522740069,0
test_temporal_seen_country,death,3,extra_trees,ASR_ratio_sensitivity,815,0.0476260565877,0.0687182099803,0.157946260989,0.0848746618447,0.0281238451879,0.965456863926,0.989339194022,0.0477772170533,-0.000151160465694
test_temporal_seen_country,death,3,extra_trees,direct_GBD_Percent,815,0.0477772170533,0.0688164240744,0.158829275974,0.0849959672166,0.02800556781,0.965069550302,0.989266751907,0.0477772170533,0
test_temporal_seen_country,death,3,gru,ASR_ratio_sensitivity,815,0.050643271849,0.0727260476455,0.148176217894,0.0898247888439,0.0324386011053,0.96959814555,0.987532419398,0.0476583985083,0.00298487334064
test_temporal_seen_country,death,3,gru,direct_GBD_Percent,815,0.0476583985083,0.0680226919634,0.139724747482,0.0840156194379,0.031706162863,0.97296728092,0.988401192768,0.0476583985083,0
test_temporal_seen_country,death,5,extra_trees,ASR_ratio_sensitivity,815,0.0533042536981,0.0791920693328,0.164080983311,0.0978110475713,0.0402267882473,0.962721402531,0.985737858852,0.0533407977677,-3.65440696207e-05
test_temporal_seen_country,death,5,extra_trees,direct_GBD_Percent,815,0.0533407977677,0.0792123965173,0.165055159651,0.0978361539137,0.039257425869,0.962277429881,0.985862349341,0.0533407977677,0
test_temporal_seen_country,death,5,gru,ASR_ratio_sensitivity,815,0.0579113106478,0.0827476034233,0.15708944716,0.102202529155,0.0451169898219,0.965830620908,0.979575734818,0.0557682347916,0.00214307585619
test_temporal_seen_country,death,5,gru,direct_GBD_Percent,815,0.0557682347916,0.0788613792291,0.15293411238,0.0974026083711,0.042245403895,0.967614411142,0.981012252205,0.0557682347916,0
