partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,n,mean_log1p_bias_prediction_minus_observed,median_log1p_bias_prediction_minus_observed,calibration_intercept_observed_on_predicted,calibration_slope_observed_on_predicted
test_spatiotemporal_unseen_country,death,1,random_forest,False,False,205,-0.0253124663402,-0.00444716939849,-0.0632939618413,1.14661592061
test_spatiotemporal_unseen_country,death,1,ridge,False,False,205,0.0709188469797,-0.00954977959794,0.302486449631,0.467001797206
test_spatiotemporal_unseen_country,death,1,xgboost,False,False,205,-0.0177475978191,-0.00381774819028,-0.0385664789319,1.09203019363
test_spatiotemporal_unseen_country,death,3,elastic_net,False,False,205,0.0451254233125,-0.0170700712178,0.281366169234,0.516152291719
test_spatiotemporal_unseen_country,death,3,extra_trees,True,False,205,-0.0287741303839,-0.00943639832819,-0.0679099220302,1.16090351253
test_spatiotemporal_unseen_country,death,3,gru,False,False,205,-0.0110865734251,-0.00970837259296,0.0179033933347,0.988979706623
test_spatiotemporal_unseen_country,death,3,hist_gradient_boosting,False,False,205,-0.0226385656657,-0.00824415469775,-0.0473589897927,1.11531385492
test_spatiotemporal_unseen_country,death,3,logtrend10,False,False,205,-0.0102617658025,-0.00662283914819,0.0105964139133,0.999459717369
test_spatiotemporal_unseen_country,death,3,logtrend5,False,False,205,-0.0159807589305,-0.00818393836643,0.00828424352052,1.01254166875
test_spatiotemporal_unseen_country,death,3,persistence,False,False,205,-0.0270656273294,-0.0245466215939,0.0298179197228,0.99543256725
test_spatiotemporal_unseen_country,death,3,pooled_ridge,False,True,205,-0.00895619271115,-0.00675903756644,0.00859089226557,1.00058852969
test_spatiotemporal_unseen_country,death,3,random_forest,False,False,205,-0.0261037449054,-0.00617156045893,-0.0579978532581,1.13934428218
test_spatiotemporal_unseen_country,death,3,ridge,False,False,205,0.0621666943652,-0.0134680290525,0.304142631673,0.470515830366
test_spatiotemporal_unseen_country,death,3,xgboost,False,False,205,-0.0302741187968,-0.00978636878392,-0.0606617175683,1.15171594777
test_spatiotemporal_unseen_country,death,5,elastic_net,False,False,205,0.0579438711583,-0.0126841079868,0.308711471549,0.466760836111
test_spatiotemporal_unseen_country,death,5,extra_trees,True,False,205,-0.0268780264574,-0.00292359388102,-0.0678359168442,1.15712899215
test_spatiotemporal_unseen_country,death,5,gru,False,False,205,-0.0223989772373,-0.0114621394933,0.0403096760002,0.97050558641
test_spatiotemporal_unseen_country,death,5,hist_gradient_boosting,False,False,205,-0.0198121408716,-0.00774954271034,-0.0306053326138,1.08267271624
test_spatiotemporal_unseen_country,death,5,logtrend10,False,False,205,0.00233617987925,-0.00378397101401,0.0244576729278,0.957604159111
test_spatiotemporal_unseen_country,death,5,logtrend5,False,False,205,-0.00870742798093,-0.00673257879876,0.0167605196322,0.987030990864
test_spatiotemporal_unseen_country,death,5,persistence,False,False,205,-0.0333125952316,-0.0358915286318,0.0486400954282,0.974297540226
test_spatiotemporal_unseen_country,death,5,pooled_ridge,False,True,205,-0.00106525765073,0.00112444905278,0.0119734082019,0.982646665734
test_spatiotemporal_unseen_country,death,5,random_forest,False,False,205,-0.0253414882654,-0.00795250292686,-0.0556518661022,1.13402510116
test_spatiotemporal_unseen_country,death,5,ridge,False,False,205,0.0503571587137,-0.00897346916588,0.291342874605,0.497509899655
test_spatiotemporal_unseen_country,death,5,xgboost,False,False,205,-0.0277231453262,-0.00848750609267,-0.0552697740623,1.13787730105
test_temporal_seen_country,daly,1,elastic_net,False,False,815,-0.0329166218126,-0.0622570464092,0.37981351775,0.877200014873
test_temporal_seen_country,daly,1,extra_trees,False,False,815,-0.0168748282202,-0.011386977342,-0.0295965511133,1.01635777389
test_temporal_seen_country,daly,1,gru,True,False,815,-0.0150816370448,-0.0122704288857,-0.00655149118274,1.00760998715
test_temporal_seen_country,daly,1,hist_gradient_boosting,False,False,815,-0.0141223924108,-0.00886507913,-0.0144594640025,1.01005098232
test_temporal_seen_country,daly,1,logtrend10,False,False,815,-0.01297460047,-0.0108697526637,0.00170674660068,1.00396081013
test_temporal_seen_country,daly,1,logtrend5,False,False,815,-0.0112859009496,-0.00864638450908,0.00694745936631,1.00152411891
test_temporal_seen_country,daly,1,persistence,False,False,815,-0.0305328996645,-0.0270616742839,0.0256364955618,1.00173184428
test_temporal_seen_country,daly,1,pooled_ridge,False,True,815,-0.0115382948116,-0.00807524994612,-0.0224191316395,1.01193049257
test_temporal_seen_country,daly,1,random_forest,False,False,815,-0.0166480233346,-0.0127917876828,-0.0119908625192,1.01007998964
test_temporal_seen_country,daly,1,ridge,False,False,815,-0.0279283212317,-0.050706755888,0.39166211619,0.87146679484
test_temporal_seen_country,daly,1,xgboost,False,False,815,-0.0172374880697,-0.0118103676507,-0.0209688286633,1.01345021582
test_temporal_seen_country,daly,3,elastic_net,False,False,815,-0.065807277032,-0.0585587055894,0.04513174527,1.00740526852
test_temporal_seen_country,daly,3,extra_trees,True,False,815,-0.0292614029189,-0.018906186013,-0.045207075851,1.02632745012
test_temporal_seen_country,daly,3,gru,False,False,815,-0.0265116490382,-0.0205776937515,-0.0315124744107,1.02049381982
test_temporal_seen_country,daly,3,hist_gradient_boosting,False,False,815,-0.025545814959,-0.0196709569379,-0.0342306667584,1.021105544
test_temporal_seen_country,daly,3,logtrend10,False,False,815,-0.0200975777034,-0.0142375000332,0.0101186018122,1.00351655613
test_temporal_seen_country,daly,3,logtrend5,False,False,815,-0.0225071887636,-0.0180798450569,0.0149300847855,1.00267241413
test_temporal_seen_country,daly,3,persistence,False,False,815,-0.072969190687,-0.0656210549133,0.0816010406606,0.996900415579
test_temporal_seen_country,daly,3,pooled_ridge,False,True,815,-0.0161792332721,-0.00787184479381,-0.0668803663238,1.02922955127
test_temporal_seen_country,daly,3,random_forest,False,False,815,-0.0319054978883,-0.0238691006705,-0.0504889696568,1.02915684521
test_temporal_seen_country,daly,3,ridge,False,False,815,-0.0616201496142,-0.0551372116506,0.0646798544842,0.998905759352
test_temporal_seen_country,daly,3,xgboost,False,False,815,-0.027424217618,-0.0182773394184,-0.0372424606346,1.02284729978
test_temporal_seen_country,daly,5,elastic_net,False,False,815,-0.070128457709,-0.071021364085,-0.0258299435094,1.03442229359
test_temporal_seen_country,daly,5,extra_trees,True,False,815,-0.040206766931,-0.0340897485189,-0.0744935293297,1.04070845909
test_temporal_seen_country,daly,5,gru,False,False,815,-0.028966539419,-0.0268101249634,0.0402041384887,0.996027493843
test_temporal_seen_country,daly,5,hist_gradient_boosting,False,False,815,-0.0326909040824,-0.0311752206005,-0.0443388993892,1.02726603515
test_temporal_seen_country,daly,5,logtrend10,False,False,815,-0.0147202297647,-0.00808077407406,0.0362915906832,0.992412705634
test_temporal_seen_country,daly,5,logtrend5,False,False,815,-0.0250105821293,-0.0178711364832,0.0779683748575,0.981305493196
test_temporal_seen_country,daly,5,persistence,False,False,815,-0.107515696404,-0.107102917952,0.159540974455,0.981083743223
test_temporal_seen_country,daly,5,pooled_ridge,False,True,815,-0.0125524923424,-0.00704366224097,-0.0969571381663,1.0384884744
test_temporal_seen_country,daly,5,random_forest,False,False,815,-0.037334615689,-0.0352441429185,-0.0617511083017,1.03513085618
test_temporal_seen_country,daly,5,ridge,False,False,815,-0.0589742346354,-0.0492517837481,-0.00141291895758,1.0215758098
test_temporal_seen_country,daly,5,xgboost,False,False,815,-0.0317089704228,-0.0299908193821,-0.0394374207813,1.02517474927
test_temporal_seen_country,death,1,elastic_net,False,False,815,-0.00794127200565,-0.00537157040082,0.0237644520713,0.969609269514
test_temporal_seen_country,death,1,extra_trees,False,False,815,-0.00894571890546,-0.00326006662931,-0.0112316213573,1.038828439
test_temporal_seen_country,death,1,gru,True,False,815,-0.00673843038321,-0.0034878958753,-0.00210806781824,1.01695183037
test_temporal_seen_country,death,1,hist_gradient_boosting,False,False,815,-0.00663329704066,-0.00249063130384,-0.00763322403284,1.02733227635
test_temporal_seen_country,death,1,logtrend10,False,False,815,-0.00580510647197,-0.00328042292754,-0.00151666069127,1.01400506397
test_temporal_seen_country,death,1,logtrend5,False,False,815,-0.00498647675265,-0.00230283449857,0.000219085167007,1.00910480167
test_temporal_seen_country,death,1,persistence,False,False,815,-0.012713044349,-0.00943159851101,0.00242806186515,1.01993652843
test_temporal_seen_country,death,1,pooled_ridge,False,True,815,-0.00635107528133,-0.00219143011433,-0.00491292408105,1.02156828348
test_temporal_seen_country,death,1,random_forest,False,False,815,-0.00809300517123,-0.00343685004555,-0.00870095589185,1.03226466006
test_temporal_seen_country,death,1,ridge,False,False,815,-0.00577014290774,-0.00363607492275,0.0268563452243,0.959669044794
