partition,outcome,horizon,family,mean_rmsle,sd_rmsle,min_rmsle,max_rmsle,mean_r2,sd_r2,median_prediction_seed_cv,p95_prediction_seed_cv
test_spatiotemporal_unseen_country,daly,1,gru,0.0579144446883,0.000465405758807,0.0572303535374,0.0584229774376,0.994049926828,0.000479587935859,0.00283284784851,0.00710049280287
test_spatiotemporal_unseen_country,daly,1,random_forest,0.117504830391,0.00102332090919,0.116699754615,0.119268153055,0.813728653625,0.00228679681777,0.00138525228057,0.00923893706223
test_spatiotemporal_unseen_country,daly,3,extra_trees,0.133044808895,0.000641586454079,0.132023822689,0.133639962055,0.826027673363,0.0017970467315,0.00435238714232,0.00919246684877
test_spatiotemporal_unseen_country,daly,3,gru,0.10010336227,0.00340894589428,0.0966470564457,0.105499183248,0.981876241997,0.00411156542852,0.0110698585714,0.0315198093478
test_spatiotemporal_unseen_country,daly,5,extra_trees,0.208204302466,0.0028637022399,0.204067336601,0.21092469916,0.647492332305,0.0102522421514,0.00859926863672,0.0190746983997
test_spatiotemporal_unseen_country,daly,5,gru,0.149298217268,0.00939290550989,0.137622988597,0.158945029752,0.961164752674,0.019496554853,0.0429902371209,0.146763520507
test_spatiotemporal_unseen_country,death,1,extra_trees,0.108827315985,0.000288384795213,0.108320965547,0.109035394584,0.730095415989,0.000771544933676,0.00169374033587,0.00822534234943
test_spatiotemporal_unseen_country,death,1,gru,0.0258735434971,0.000237637163146,0.0255820963968,0.026214988283,0.994207555918,0.000192805716013,0.00372766948343,0.00740979727668
test_spatiotemporal_unseen_country,death,3,extra_trees,0.111672788938,0.000463716366951,0.111085400137,0.112227632983,0.735296017521,0.00173868561559,0.00470471784915,0.0124596062258
test_spatiotemporal_unseen_country,death,3,gru,0.0487111424794,0.00232917185017,0.0467086193397,0.0523998388124,0.984732895508,0.00268754217036,0.0144831448656,0.0470326320217
test_spatiotemporal_unseen_country,death,5,extra_trees,0.117892970228,0.000447288995917,0.117114337773,0.118259756418,0.729381031658,0.000930750153192,0.0060559198478,0.0115861646563
test_spatiotemporal_unseen_country,death,5,gru,0.0742278209874,0.00317119263895,0.0708787710666,0.0773974477184,0.979007512715,0.00497468752301,0.0398104871341,0.114925247402
test_temporal_seen_country,daly,1,gru,0.0619492812222,0.000521356719807,0.0613300048397,0.0627086613327,0.991447710793,0.000179918783439,0.00269232538366,0.00598180858945
test_temporal_seen_country,daly,1,random_forest,0.065517883594,0.00020383504526,0.0652175684819,0.0657101156875,0.979429980124,0.000246732681141,0.0013131672821,0.00404199469935
test_temporal_seen_country,daly,3,extra_trees,0.103399355096,0.000296256639435,0.102960271528,0.103766154549,0.965606542199,0.0003774058101,0.00395423737331,0.00840916679737
test_temporal_seen_country,daly,3,gru,0.10496035131,0.000194986153199,0.104754333726,0.105167844883,0.974074770269,0.000476709011499,0.00820632132078,0.0227741305197
test_temporal_seen_country,daly,5,extra_trees,0.124176664858,0.000315381322855,0.123888247604,0.124639706225,0.956868686938,0.000639257835109,0.00639767972434,0.0130584674149
test_temporal_seen_country,daly,5,gru,0.126241050987,0.00382661379769,0.120821120253,0.130284444641,0.968504424584,0.00300944862696,0.0295141597694,0.0892249580991
test_temporal_seen_country,death,1,extra_trees,0.0330231775862,8.63036676685e-05,0.0328872602662,0.0331218113603,0.975632417729,0.000315441230275,0.0015688250374,0.00382342794269
test_temporal_seen_country,death,1,gru,0.0281293662553,0.000269785186858,0.0278373636297,0.0285515379157,0.991169568474,0.000191944094858,0.00359844618563,0.00637311267386
test_temporal_seen_country,death,3,extra_trees,0.047779736431,0.000151906147992,0.0475788623554,0.0479887381947,0.965181934054,0.000357299426433,0.00370054082104,0.00772741268364
test_temporal_seen_country,death,3,gru,0.0487727376582,0.000763163312232,0.0479035374268,0.0495745131854,0.971431636745,0.000942995479764,0.0115510031648,0.0307384813909
test_temporal_seen_country,death,5,extra_trees,0.0533717411661,0.000110154093023,0.053276377237,0.0535489487851,0.962594271643,0.000200874897453,0.00455711181621,0.00967287223979
test_temporal_seen_country,death,5,gru,0.0565415071926,0.0016151432845,0.0548458702169,0.0583422789458,0.965753454875,0.00198600725586,0.0324556424781,0.0935736512005
