outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent
daly,1,gru,0.0351837891867,0.440280739306,0.88514033881,0.0218873476889,0.224702736937,0.998349193569,0.998051818915,0.0257809796208,0.440280739306,0.523682486877,0.0235538055205,0.380307557751,-0.251953527343,0.739526730938,10,1,0.0355400676588,0.126854047424,0.0100246987567
daly,1,pooled_ridge,0.0355400676588,0.451276332436,0.849959165884,0.0224771911869,0.230710067375,0.998495194799,0.998105389854,0.026615830717,0.451276332436,0.531681584907,0.0247785440454,0.406616644902,-0.51952547872,0.735670464505,3,2,0.0355400676588,0.118012387299,0
daly,1,logtrend10,0.0372423594417,0.468251347658,0.889587777333,0.0232849968308,0.257215214435,0.998367398129,0.997817792421,0.0282388993711,0.468251347658,0.556060848703,0.0260628603444,0.426150176933,-1.11356373081,0.726906222612,2,3,0.0355400676588,0.0757671029027,-0.0478978205454
daly,1,random_forest,0.0377377851143,0.594598770674,1.3499959683,0.0295881391194,0.261832493845,0.996174051396,0.997955645225,0.0300688948447,0.594598770674,0.693715628012,0.0273817952848,0.530937993624,-0.927645206588,0.676073619632,6,4,0.0355400676588,0.0634722668198,-0.0618377397754
daly,1,extra_trees,0.0377695309611,0.552552966436,1.18507616196,0.027510752987,0.25998294835,0.997093285304,0.997961995229,0.0289133317128,0.552552966436,0.643981216944,0.0265511374003,0.495161035757,-0.699745085456,0.690797546012,7,5,0.0355400676588,0.0626844392913,-0.062730980811
daly,1,logtrend5,0.0378006213369,0.461059018438,0.913094435369,0.0229231092125,0.233309069798,0.998287640786,0.997779230582,0.027785666246,0.461059018438,0.547528854433,0.0255905259094,0.414364101772,-0.590046197592,0.719193689746,1,6,0.0355400676588,0.0619128783997,-0.0636057786885
daly,1,xgboost,0.0390277627055,0.643992531927,1.78322293043,0.0319879664378,0.240250941568,0.993476123904,0.997919738274,0.0299115851585,0.643992531927,0.746174464738,0.0273874953078,0.599644395866,-1.44131589205,0.714205132402,9,7,0.0355400676588,0.0314592648452,-0.0981341701488
daly,1,persistence,0.0402954272226,0.523857474633,0.904172189898,0.0260833889158,0.300899315538,0.998300931631,0.997936710669,0.0328428959441,0.523857474633,0.612151373484,0.0308212920505,0.481632304176,-0.0845605387428,0.742331288344,0,8,0.0355400676588,0,-0.13380277183
daly,1,hist_gradient_boosting,0.0404797648488,0.689835789469,1.86978232863,0.0342793646465,0.256351868165,0.992888723874,0.997808094234,0.0314203650845,0.689835789469,0.792440939974,0.0287357124954,0.629536445745,-2.3297762731,0.690096406661,8,9,0.0355400676588,-0.00457465372312,-0.138989526902
daly,1,ridge,0.23855606878,4.73617995414,13.0027961933,0.235632543313,2.06400378033,0.65479472815,0.939273877096,0.199384396533,4.73617995414,5.08283538101,0.213461590578,4.61490674286,-241.778669787,0.388957055215,4,10,0.0355400676588,-4.92017718194,-5.7123132986
daly,1,elastic_net,0.239852273328,4.83176563227,13.3324471287,0.240492133722,2.17893389454,0.634981699039,0.938589000351,0.200214168303,4.83176563227,5.11258209862,0.214970070762,4.6465144854,-231.891080242,0.414548641543,5,11,0.0355400676588,-4.95234471652,-5.74878493848
daly,3,extra_trees,0.0682089920355,0.949816160737,1.74342158157,0.0472688893393,0.494279820967,0.993678022194,0.994026263037,0.053815604619,0.949816160737,1.09568839543,0.0507613214015,0.916395992552,-7.81954856292,0.558632778265,7,1,0.0769753011104,0.284630626452,0.113884700006
daly,3,xgboost,0.0722408408742,1.14223868633,2.33205902579,0.0568383022359,0.541879615105,0.988720519467,0.993546549134,0.0592921901869,1.14223868633,1.31892934359,0.0555616283119,1.04680944714,-10.0548778965,0.526029798422,9,2,0.0769753011104,0.242344982113,0.061506225606
daly,3,hist_gradient_boosting,0.0728362385279,1.22194070825,2.74939380645,0.0608343333648,0.567276466085,0.983964075855,0.993430863615,0.0595843512021,1.22194070825,1.39885637444,0.0563150515101,1.15847635979,-10.9495678464,0.512357581069,8,3,0.0769753011104,0.236100508564,0.0537713074556
daly,3,random_forest,0.0733821219872,1.15134317147,2.19352479367,0.0573117939102,0.559848682847,0.990031189345,0.993406964511,0.0586960057198,1.15134317147,1.28362581925,0.0565523827972,1.13064182821,-8.88083869738,0.577563540754,6,4,0.0769753011104,0.230375335143,0.046679637122
daly,3,gru,0.0737013477633,1.07444652857,1.87769178569,0.0534583868022,0.574599290333,0.992800991193,0.992838696922,0.0596367782167,1.07444652857,1.23925180942,0.0565298146015,1.0471499453,-9.19113821357,0.591586327783,10,5,0.0769753011104,0.227027325787,0.0425325175716
daly,3,pooled_ridge,0.0769753011104,1.06153358111,1.79753401135,0.0528674863833,0.535483202287,0.993328027481,0.992425484873,0.059916702852,1.06153358111,1.20319167521,0.0585138413019,1.03275637022,-11.1276301644,0.547063978966,3,6,0.0769753011104,0.192690416751,0
daly,3,logtrend10,0.0853738879301,1.13418546289,1.8822315076,0.0564072499234,0.628079754368,0.992798921802,0.98965157242,0.066714384157,1.13418546289,1.28088276702,0.0644149282668,1.14207021609,-15.5539964593,0.560035056968,2,7,0.0769753011104,0.104606842832,-0.109107553963
daly,3,logtrend5,0.0894703223002,1.21949887523,2.11090168981,0.0606573296188,0.643408413932,0.990945454857,0.989820482514,0.0703752801497,1.21949887523,1.39016770693,0.0665324709565,1.21288078073,-13.6513589508,0.407186678352,1,8,0.0769753011104,0.0616438316265,-0.162325070635
daly,3,persistence,0.0953479343087,1.32154082636,2.01807068355,0.065788614521,0.79515849271,0.991644388681,0.991493766173,0.0807940249493,1.32154082636,1.46643561864,0.0786567003722,1.30576807241,-7.25979429483,0.581770376862,0,9,0.0769753011104,0,-0.238682186796
daly,3,elastic_net,0.254928869494,5.49744574785,16.4875611532,0.273905512706,2.35939072252,0.399412851513,0.930031735586,0.214633662285,5.49744574785,5.84038881987,0.229801197895,5.32882200952,-298.865960036,0.43523225241,5,10,0.0769753011104,-1.6736695592,-2.31182685636
daly,3,ridge,0.255470319823,5.60785597528,18.4392635549,0.279374662345,2.31981134731,0.243703738196,0.931246087171,0.213301696137,5.60785597528,5.99851325385,0.229829417281,5.37805527721,-359.625243449,0.440841367222,4,11,0.0769753011104,-1.67934823838,-2.31886093511
daly,5,extra_trees,0.081890675524,1.21538463181,2.17189797125,0.0604774854327,0.581875822467,0.990367313956,0.99145612797,0.0638219754376,1.21538463181,1.36299631492,0.0612157218509,1.17831685155,-10.1724343747,0.610166520596,7,1,0.113640758715,0.443401457518,0.279389926205
daly,5,hist_gradient_boosting,0.0906341326904,1.4373828446,2.79246363198,0.0714372383679,0.68507341341,0.984125759467,0.989514643252,0.0746468885713,1.4373828446,1.65145491202,0.0703328578197,1.35748441585,-16.0539474259,0.474496056091,8,2,0.113640758715,0.383973500867,0.202450478904
daly,5,xgboost,0.0923668459793,1.4514420706,2.8534522269,0.0721442152263,0.708467306807,0.983465955326,0.989174629427,0.0752245463573,1.4514420706,1.66592441952,0.0714388278758,1.35995740157,-15.7913048568,0.486765994741,9,3,0.113640758715,0.372196510569,0.187203191676
daly,5,random_forest,0.0952922636407,1.5177584674,2.8199311341,0.0755278380976,0.683636926115,0.983706531533,0.989093233927,0.0753447482832,1.5177584674,1.68256458764,0.0731865190252,1.47821551591,-16.4030861561,0.561787905346,6,4,0.113640758715,0.352312888947,0.161460511898
daly,5,gru,0.0964317891526,1.34348530873,2.19215789125,0.0668362040791,0.73936912252,0.990184088106,0.987221714703,0.0805769579122,1.34348530873,1.55605733616,0.0768964885276,1.27850231313,-18.8483629088,0.434881682734,10,5,0.113640758715,0.3445677063,0.151433075221
daly,5,pooled_ridge,0.113640758715,1.6100745347,2.70516442751,0.0800799666672,0.808731532533,0.985115929743,0.983667213633,0.0880839097804,1.6100745347,1.77780000559,0.0901458275071,1.62038446405,-31.8828613625,0.485013146363,3,6,0.113640758715,0.227600941587,0
daly,5,logtrend10,0.134472010653,1.76570290877,2.85863861688,0.0877862987892,0.976466308047,0.983399605451,0.974171302891,0.103755998585,1.76570290877,1.95780535253,0.102518536133,1.80051891302,-37.8799568338,0.474145486415,2,7,0.113640758715,0.0860140711385,-0.183307927302
daly,5,persistence,0.14712700317,2.07204037721,3.03278784396,0.103074053848,1.3027155407,0.981323329453,0.982316279244,0.125975835336,2.07204037721,2.22405545026,0.123967330338,2.08142958069,-23.9658431068,0.533041191937,0,8,0.113640758715,0,-0.29466755443
daly,5,logtrend5,0.152818546496,1.92893008184,3.141038624,0.0958284592714,1.06851493916,0.979969254334,0.969488925738,0.115448016581,1.92893008184,2.19810673102,0.109410847064,1.90482650659,-40.9643450702,0.318141980719,1,9,0.113640758715,-0.0386845596223,-0.34475119863
