outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
daly,3,pooled_ridge,cv2,326,0.081988734331,1.07223724198,1.87683162331,0.0532848562577,0.5088274218,0.992966427738,0.991636352616
daly,3,pooled_ridge,cv3,326,0.0660005041587,0.939847517863,1.47910383868,0.0456056344391,0.52479899026,0.995589041508,0.994113200358
daly,3,random_forest,cv1,326,0.0752555398123,1.25794878375,2.61303548288,0.0640627498036,0.5474268759,0.985890817936,0.994008252118
daly,3,random_forest,cv2,326,0.077805528073,1.11822364461,2.02947466444,0.0555701516733,0.525589516715,0.99177582019,0.992089396504
daly,3,random_forest,cv3,326,0.0670852980762,1.07785708606,1.9380642337,0.0523024802537,0.606529655925,0.992426929909,0.99412324491
daly,3,ridge,cv1,326,0.263837939216,6.48101198287,26.1630509494,0.33005433488,2.2940340983,-0.414451293819,0.935730113304
daly,3,ridge,cv2,326,0.255841583753,5.29871521681,13.9965507231,0.263319783741,2.48025487594,0.60882834847,0.929918820978
daly,3,ridge,cv3,326,0.246731436501,5.04384072618,15.1581889921,0.244749868415,2.1851450677,0.536734159939,0.928089327232
daly,3,xgboost,cv1,326,0.0756363189825,1.24164047817,2.7601375431,0.0632322271991,0.501429708125,0.984257537332,0.993793852908
daly,3,xgboost,cv2,326,0.0742453629546,1.07043895275,1.97507350797,0.0531954902299,0.522389492135,0.992210817912,0.992680293197
daly,3,xgboost,cv3,326,0.0668408406854,1.11463662806,2.2609660263,0.0540871892787,0.601819645055,0.989693203155,0.994165501297
daly,5,elastic_net,cv1,326,0.280727872009,7.2456574908,29.609942151,0.368994945575,2.48668062944,-0.811700237166,0.932566333658
daly,5,elastic_net,cv2,326,0.274475909204,6.06706502338,17.1667937442,0.30150294638,2.64448618384,0.411557939775,0.91939490239
daly,5,elastic_net,cv3,326,0.267118569775,5.56057342436,14.0766577002,0.269824066185,2.5050381851,0.600483479373,0.916440418927
daly,5,extra_trees,cv1,326,0.0819695005798,1.28051082753,2.40107003931,0.0652117525169,0.488275829105,0.988087007164,0.992756839603
daly,5,extra_trees,cv2,326,0.0864052891734,1.22086476263,2.07789357509,0.060670904572,0.5977607801,0.991378716444,0.989844266163
daly,5,extra_trees,cv3,326,0.0772972368187,1.14477830528,2.03673029936,0.0555497992093,0.659590858195,0.991636218259,0.991767278143
daly,5,gru,cv1,326,0.103476133784,1.43274672706,2.42748097015,0.0729645724,0.71836219715,0.987823488272,0.985051976222
daly,5,gru,cv2,326,0.0906322878169,1.27421040612,2.06405759552,0.0633219176442,0.71111225121,0.991493146527,0.989471925047
daly,5,gru,cv3,326,0.0951869458573,1.32349879302,2.08493510808,0.0642221221931,0.7886329192,0.991235629517,0.98714124284
daly,5,hist_gradient_boosting,cv1,326,0.0896590568729,1.40867722762,2.51497006238,0.0717388004609,0.62075627383,0.986929961625,0.990665148439
daly,5,hist_gradient_boosting,cv2,326,0.0957122883875,1.43817183385,2.80952923438,0.0714699848501,0.69859972118,0.984238685323,0.988128726117
daly,5,hist_gradient_boosting,cv3,326,0.086531052811,1.46529947232,3.05289159918,0.0711029297927,0.73586424522,0.981208631453,0.989750055202
daly,5,logtrend10,cv1,326,0.137895033464,1.76537613127,3.00918310003,0.0899041764403,0.93366748025,0.981288506565,0.974202129272
daly,5,logtrend10,cv2,326,0.143301861905,1.77625890163,2.81586995808,0.0882712300449,0.97300268065,0.984167462775,0.969872581406
